time_temporada_id,team_long_name,season,saldo_medio,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,cluster
FC Aarau_2009/2010,FC Aarau,2009/2010,-1.5555555555555556,60,50,60,65,55,50,55,45,2
FC Aarau_2014/2015,FC Aarau,2014/2015,-0.9166666666666666,52,56,54,63,64,47,44,54,2
Aberdeen_2009/2010,Aberdeen,2009/2010,-0.42105263157894735,70,70,70,70,70,60,70,70,2
Aberdeen_2010/2011,Aberdeen,2010/2011,-0.5263157894736842,47,52,53,48,52,47,47,52,4
Aberdeen_2011/2012,Aberdeen,2011/2012,-0.21052631578947367,58,62,45,70,55,40,40,60,4
Aberdeen_2013/2014,Aberdeen,2013/2014,0.39473684210526316,62,45,40,50,55,42,42,60,4
Aberdeen_2014/2015,Aberdeen,2014/2015,0.631578947368421,58,62,56,68,57,41,42,60,2
Aberdeen_2015/2016,Aberdeen,2015/2016,0.3684210526315789,59,53,51,72,63,49,45,63,2
AC Ajaccio_2011/2012,AC Ajaccio,2011/2012,-0.5526315789473685,59,52,48,34,52,38,47,53,4
AC Ajaccio_2013/2014,AC Ajaccio,2013/2014,-0.9210526315789473,59,52,48,34,52,38,47,53,4
Milan_2009/2010,Milan,2009/2010,0.5526315789473685,45,30,55,45,70,30,35,60,4
Milan_2010/2011,Milan,2010/2011,1.0789473684210527,65,50,50,60,50,50,50,50,4
Milan_2011/2012,Milan,2011/2012,1.054054054054054,45,50,65,20,50,45,45,50,4
Milan_2013/2014,Milan,2013/2014,0.21052631578947367,48,54,51,53,64,48,49,53,2
Milan_2014/2015,Milan,2014/2015,0.15789473684210525,48,52,66,36,75,58,57,49,2
Milan_2015/2016,Milan,2015/2016,0.15789473684210525,48,52,66,36,69,58,57,49,2
Académica de Coimbra_2009/2010,Académica de Coimbra,2009/2010,-0.16666666666666666,30,30,50,60,55,30,30,30,1
Académica de Coimbra_2010/2011,Académica de Coimbra,2010/2011,-0.5333333333333333,30,50,50,50,55,30,45,65,4
Académica de Coimbra_2011/2012,Académica de Coimbra,2011/2012,-0.36666666666666664,45,44,55,57,60,52,38,61,4
Académica de Coimbra_2013/2014,Académica de Coimbra,2013/2014,-0.3333333333333333,45,44,55,57,60,52,38,61,4
Académica de Coimbra_2014/2015,Académica de Coimbra,2014/2015,-0.5882352941176471,52,44,55,51,60,39,38,61,4
Académica de Coimbra_2015/2016,Académica de Coimbra,2015/2016,-0.8235294117647058,53,44,55,51,60,39,38,61,4
ADO Den Haag_2009/2010,ADO Den Haag,2009/2010,-0.6176470588235294,30,35,30,50,65,30,30,30,1
ADO Den Haag_2010/2011,ADO Den Haag,2010/2011,0.23529411764705882,53,53,48,67,66,46,62,65,2
ADO Den Haag_2011/2012,ADO Den Haag,2011/2012,-0.8529411764705882,38,44,55,60,44,50,58,62,3
ADO Den Haag_2013/2014,ADO Den Haag,2013/2014,-0.5588235294117647,38,47,55,55,44,50,58,52,3
ADO Den Haag_2014/2015,ADO Den Haag,2014/2015,-0.2647058823529412,58,55,55,52,44,57,50,52,3
ADO Den Haag_2015/2016,ADO Den Haag,2015/2016,-0.029411764705882353,56,66,55,52,38,40,50,52,4
Ajax_2009/2010,Ajax,2009/2010,2.5294117647058822,30,30,50,60,70,30,30,30,1
Ajax_2010/2011,Ajax,2010/2011,1.2352941176470589,40,38,67,65,67,65,57,63,2
Ajax_2011/2012,Ajax,2011/2012,1.6764705882352942,31,33,39,64,46,68,65,60,3
Ajax_2013/2014,Ajax,2013/2014,1.2058823529411764,35,33,39,52,46,68,65,50,3
Ajax_2014/2015,Ajax,2014/2015,1.1764705882352942,40,30,51,55,39,64,53,64,3
Ajax_2015/2016,Ajax,2015/2016,1.7647058823529411,35,39,58,55,30,64,53,59,3
UD Almería_2009/2010,UD Almería,2009/2010,-0.3157894736842105,65,45,45,45,70,70,65,30,2
UD Almería_2010/2011,UD Almería,2010/2011,-0.8947368421052632,55,53,57,54,69,58,68,67,2
UD Almería_2013/2014,UD Almería,2013/2014,-0.7368421052631579,46,65,57,54,40,37,53,45,4
UD Almería_2014/2015,UD Almería,2014/2015,-0.7631578947368421,46,65,57,54,40,37,53,45,4
RSC Anderlecht_2009/2010,RSC Anderlecht,2009/2010,1.5,50,35,70,50,60,70,50,70,2
RSC Anderlecht_2010/2011,RSC Anderlecht,2010/2011,1.2666666666666666,50,52,70,50,60,70,50,70,2
RSC Anderlecht_2011/2012,RSC Anderlecht,2011/2012,1.1666666666666667,52,41,53,57,47,45,43,52,4
RSC Anderlecht_2014/2015,RSC Anderlecht,2014/2015,0.7,52,51,60,53,47,60,50,65,2
RSC Anderlecht_2015/2016,RSC Anderlecht,2015/2016,0.7333333333333333,52,51,60,53,47,53,50,61,3
Angers SCO_2015/2016,Angers SCO,2015/2016,0.05263157894736842,48,50,40,52,48,44,44,51,3
Arka Gdynia_2009/2010,Arka Gdynia,2009/2010,-0.36666666666666664,30,45,45,35,70,65,70,70,2
Arka Gdynia_2010/2011,Arka Gdynia,2010/2011,-0.7,46,37,33,62,52,47,48,45,3
AC Arles-Avignon_2010/2011,AC Arles-Avignon,2010/2011,-1.2894736842105263,50,65,35,35,35,25,45,35,4
FC Arouca_2014/2015,FC Arouca,2014/2015,-0.7058823529411765,69,39,55,59,46,35,37,37,4
FC Arouca_2015/2016,FC Arouca,2015/2016,0.2647058823529412,65,39,55,59,46,37,39,37,4
Arsenal_2009/2010,Arsenal,2009/2010,1.105263157894737,66,30,30,45,35,30,40,50,3
Arsenal_2010/2011,Arsenal,2010/2011,0.7631578947368421,75,40,40,45,65,50,40,45,4
Arsenal_2011/2012,Arsenal,2011/2012,0.6578947368421053,25,32,41,34,30,57,57,52,3
Arsenal_2013/2014,Arsenal,2013/2014,0.7105263157894737,30,29,41,55,39,64,54,52,3
Arsenal_2014/2015,Arsenal,2014/2015,0.9210526315789473,59,26,28,55,64,51,44,52,3
Arsenal_2015/2016,Arsenal,2015/2016,0.7631578947368421,59,30,28,44,46,51,44,52,3
Aston Villa_2009/2010,Aston Villa,2009/2010,0.34210526315789475,70,59,65,70,50,30,70,30,4
Aston Villa_2010/2011,Aston Villa,2010/2011,-0.2894736842105263,65,50,45,55,50,35,45,65,4
Aston Villa_2011/2012,Aston Villa,2011/2012,-0.42105263157894735,67,58,44,60,56,43,50,52,4
Aston Villa_2013/2014,Aston Villa,2013/2014,-0.5789473684210527,63,59,52,55,34,39,41,54,4
Aston Villa_2014/2015,Aston Villa,2014/2015,-0.6842105263157895,66,72,63,48,56,39,42,52,4
Aston Villa_2015/2016,Aston Villa,2015/2016,-1.2894736842105263,63,54,60,48,38,35,44,54,4
Atalanta_2009/2010,Atalanta,2009/2010,-0.42105263157894735,35,40,35,30,55,30,30,55,1
Atalanta_2011/2012,Atalanta,2011/2012,0.0,40,50,53,47,50,55,42,50,3
Atalanta_2013/2014,Atalanta,2013/2014,-0.21052631578947367,64,36,38,49,51,54,53,49,3
Atalanta_2014/2015,Atalanta,2014/2015,-0.5,64,37,38,49,51,36,66,49,3
Atalanta_2015/2016,Atalanta,2015/2016,-0.15789473684210525,64,37,38,49,51,36,63,49,3
Athletic Club de Bilbao_2009/2010,Athletic Club de Bilbao,2009/2010,-0.07894736842105263,60,45,35,70,55,30,70,35,4
Athletic Club de Bilbao_2010/2011,Athletic Club de Bilbao,2010/2011,0.10526315789473684,70,69,55,72,57,48,67,55,2
Athletic Club de Bilbao_2011/2012,Athletic Club de Bilbao,2011/2012,-0.07894736842105263,42,59,36,78,59,37,60,68,2
Athletic Club de Bilbao_2013/2014,Athletic Club de Bilbao,2013/2014,0.7105263157894737,46,38,52,73,37,37,60,68,3
Athletic Club de Bilbao_2014/2015,Athletic Club de Bilbao,2014/2015,0.02631578947368421,46,38,52,68,37,37,60,65,3
Athletic Club de Bilbao_2015/2016,Athletic Club de Bilbao,2015/2016,0.34210526315789475,46,39,50,60,36,49,57,50,3
Atlético Madrid_2009/2010,Atlético Madrid,2009/2010,-0.10526315789473684,64,30,65,50,70,70,34,55,2
Atlético Madrid_2010/2011,Atlético Madrid,2010/2011,0.23684210526315788,57,54,58,69,79,58,48,54,2
Atlético Madrid_2011/2012,Atlético Madrid,2011/2012,0.18421052631578946,47,51,67,63,54,52,37,55,2
Atlético Madrid_2013/2014,Atlético Madrid,2013/2014,1.3421052631578947,47,51,70,65,54,52,37,55,2
Atlético Madrid_2014/2015,Atlético Madrid,2014/2015,1.0,47,51,67,67,54,52,37,55,2
Atlético Madrid_2015/2016,Atlético Madrid,2015/2016,1.1842105263157894,57,50,61,62,49,49,42,52,4
FC Augsburg_2011/2012,FC Augsburg,2011/2012,-0.38235294117647056,55,55,49,57,55,47,58,56,2
FC Augsburg_2013/2014,FC Augsburg,2013/2014,0.0,40,55,49,72,53,33,43,52,4
FC Augsburg_2014/2015,FC Augsburg,2014/2015,0.0,62,69,41,63,56,47,55,52,4
FC Augsburg_2015/2016,FC Augsburg,2015/2016,-0.29411764705882354,59,55,49,62,55,34,50,59,4
AJ Auxerre_2009/2010,AJ Auxerre,2009/2010,0.34210526315789475,30,70,35,65,35,30,55,30,4
AJ Auxerre_2010/2011,AJ Auxerre,2010/2011,0.10526315789473684,35,65,35,65,50,35,45,65,4
AJ Auxerre_2011/2012,AJ Auxerre,2011/2012,-0.2894736842105263,64,49,51,63,50,34,45,36,4
AZ_2009/2010,AZ,2009/2010,0.8823529411764706,55,45,40,30,60,30,30,50,4
AZ_2010/2011,AZ,2010/2011,0.3235294117647059,45,31,45,74,66,60,50,65,2
AZ_2011/2012,AZ,2011/2012,0.8529411764705882,46,36,47,48,52,60,65,59,3
AZ_2013/2014,AZ,2013/2014,0.11764705882352941,62,40,67,48,52,50,65,59,2
AZ_2014/2015,AZ,2014/2015,0.20588235294117646,52,46,60,56,52,50,61,55,2
AZ_2015/2016,AZ,2015/2016,0.5,50,58,67,56,50,50,61,55,2
FC Barcelona_2009/2010,FC Barcelona,2009/2010,1.9473684210526316,42,30,65,40,70,70,30,70,2
FC Barcelona_2010/2011,FC Barcelona,2010/2011,1.9473684210526316,43,34,59,25,68,67,43,68,3
FC Barcelona_2011/2012,FC Barcelona,2011/2012,2.236842105263158,24,25,37,24,54,66,63,66,3
FC Barcelona_2013/2014,FC Barcelona,2013/2014,1.763157894736842,35,32,37,31,35,61,63,65,3
FC Barcelona_2014/2015,FC Barcelona,2014/2015,2.3421052631578947,35,32,37,31,35,61,63,65,3
FC Barcelona_2015/2016,FC Barcelona,2015/2016,2.1842105263157894,36,51,36,49,56,61,65,65,3
Bari_2009/2010,Bari,2009/2010,0.0,30,30,30,40,65,40,30,45,1
Bari_2010/2011,Bari,2010/2011,-0.7631578947368421,65,35,65,63,65,55,45,60,2
FC Basel_2009/2010,FC Basel,2009/2010,1.2222222222222223,40,45,50,65,50,60,60,60,3
FC Basel_2010/2011,FC Basel,2010/2011,0.8888888888888888,46,40,51,54,49,38,53,55,3
FC Basel_2011/2012,FC Basel,2011/2012,1.3235294117647058,61,46,66,66,54,47,58,53,2
FC Basel_2013/2014,FC Basel,2013/2014,1.0,61,46,66,66,54,47,58,53,2
FC Basel_2014/2015,FC Basel,2014/2015,1.1944444444444444,61,46,66,66,54,47,58,53,2
FC Basel_2015/2016,FC Basel,2015/2016,1.3888888888888888,61,46,66,66,54,47,58,53,2
Bayer 04 Leverkusen_2009/2010,Bayer 04 Leverkusen,2009/2010,0.7941176470588235,70,30,70,70,70,70,60,70,2
Bayer 04 Leverkusen_2010/2011,Bayer 04 Leverkusen,2010/2011,0.5882352941176471,67,38,51,47,55,57,39,51,4
Bayer 04 Leverkusen_2011/2012,Bayer 04 Leverkusen,2011/2012,0.23529411764705882,58,55,52,55,56,50,42,47,4
Bayer 04 Leverkusen_2013/2014,Bayer 04 Leverkusen,2013/2014,0.5588235294117647,64,55,52,54,37,58,38,47,4
Bayer 04 Leverkusen_2014/2015,Bayer 04 Leverkusen,2014/2015,0.7352941176470589,69,55,52,55,39,50,46,54,4
Bayer 04 Leverkusen_2015/2016,Bayer 04 Leverkusen,2015/2016,0.47058823529411764,73,55,77,54,61,61,72,50,2
FC Bayern Munich_2009/2010,FC Bayern Munich,2009/2010,1.2058823529411764,65,40,65,70,70,70,40,65,2
FC Bayern Munich_2010/2011,FC Bayern Munich,2010/2011,1.2058823529411764,42,40,34,30,72,39,52,65,3
FC Bayern Munich_2011/2012,FC Bayern Munich,2011/2012,1.6176470588235294,47,40,34,31,55,49,35,50,3
FC Bayern Munich_2013/2014,FC Bayern Munich,2013/2014,2.088235294117647,56,41,40,44,39,52,54,52,3
FC Bayern Munich_2014/2015,FC Bayern Munich,2014/2015,1.8235294117647058,37,22,21,38,40,61,59,40,3
FC Bayern Munich_2015/2016,FC Bayern Munich,2015/2016,1.8529411764705883,45,28,37,31,22,72,53,59,3
Beerschot AC_2009/2010,Beerschot AC,2009/2010,-0.4642857142857143,35,35,45,40,50,70,70,70,3
Beerschot AC_2010/2011,Beerschot AC,2010/2011,-0.5333333333333333,47,37,54,64,67,33,34,48,4
Beerschot AC_2011/2012,Beerschot AC,2011/2012,-0.2,55,55,47,46,49,45,46,50,4
SC Beira Mar_2010/2011,SC Beira Mar,2010/2011,-0.13333333333333333,48,46,50,50,57,47,55,53,3
SC Beira Mar_2011/2012,SC Beira Mar,2011/2012,-0.4,39,48,53,53,59,37,52,61,4
CF Os Belenenses_2009/2010,CF Os Belenenses,2009/2010,-0.7,30,30,55,45,60,30,30,30,1
CF Os Belenenses_2014/2015,CF Os Belenenses,2014/2015,-0.029411764705882353,52,52,40,37,48,38,48,49,4
CF Os Belenenses_2015/2016,CF Os Belenenses,2015/2016,-0.6470588235294118,51,52,43,37,48,38,48,49,4
AC Bellinzona_2009/2010,AC Bellinzona,2009/2010,-1.3888888888888888,40,50,55,65,55,45,50,55,2
AC Bellinzona_2010/2011,AC Bellinzona,2010/2011,-0.9166666666666666,47,54,55,38,55,32,50,56,4
SL Benfica_2009/2010,SL Benfica,2009/2010,1.9333333333333333,30,30,50,55,65,30,30,30,1
SL Benfica_2010/2011,SL Benfica,2010/2011,1.0,65,35,65,55,51,55,56,60,2
SL Benfica_2011/2012,SL Benfica,2011/2012,1.3,55,48,69,56,54,61,51,57,2
SL Benfica_2013/2014,SL Benfica,2013/2014,1.3333333333333333,65,54,69,56,54,60,58,57,2
SL Benfica_2014/2015,SL Benfica,2014/2015,2.0588235294117645,70,53,65,66,54,60,57,54,2
SL Benfica_2015/2016,SL Benfica,2015/2016,1.9411764705882353,69,53,65,66,54,60,57,54,2
Birmingham City_2009/2010,Birmingham City,2009/2010,-0.23684210526315788,70,70,70,70,70,70,70,70,2
Birmingham City_2010/2011,Birmingham City,2010/2011,-0.5526315789473685,45,60,35,50,40,30,60,45,3
Blackburn Rovers_2009/2010,Blackburn Rovers,2009/2010,-0.3684210526315789,55,70,60,70,55,45,70,45,2
Blackburn Rovers_2010/2011,Blackburn Rovers,2010/2011,-0.34210526315789475,55,65,50,50,35,45,60,55,3
Blackburn Rovers_2011/2012,Blackburn Rovers,2011/2012,-0.7894736842105263,57,57,55,45,40,42,50,38,4
Blackpool_2010/2011,Blackpool,2010/2011,-0.6052631578947368,70,30,65,30,65,45,50,45,4
Boavista FC_2015/2016,Boavista FC,2015/2016,-0.5,47,50,37,38,53,32,62,54,3
VfL Bochum_2009/2010,VfL Bochum,2009/2010,-0.9117647058823529,50,65,55,45,50,40,60,40,4
Bologna_2009/2010,Bologna,2009/2010,-0.34210526315789475,65,55,30,70,65,55,30,50,4
Bologna_2010/2011,Bologna,2010/2011,-0.4473684210526316,65,35,35,35,50,30,50,50,4
Bologna_2011/2012,Bologna,2011/2012,-0.14285714285714285,40,50,35,35,50,35,45,50,3
Bologna_2013/2014,Bologna,2013/2014,-0.7894736842105263,63,48,49,63,63,43,43,48,4
Bologna_2015/2016,Bologna,2015/2016,-0.3157894736842105,63,48,32,48,52,30,54,48,4
Bolton Wanderers_2009/2010,Bolton Wanderers,2009/2010,-0.6578947368421053,55,70,70,70,45,35,70,35,2
Bolton Wanderers_2010/2011,Bolton Wanderers,2010/2011,-0.10526315789473684,45,70,55,70,50,40,55,50,2
Bolton Wanderers_2011/2012,Bolton Wanderers,2011/2012,-0.8157894736842105,57,56,45,54,54,48,48,58,4
Girondins de Bordeaux_2009/2010,Girondins de Bordeaux,2009/2010,0.47368421052631576,70,35,70,50,70,55,70,70,2
Girondins de Bordeaux_2010/2011,Girondins de Bordeaux,2010/2011,0.02631578947368421,50,35,50,65,65,55,45,65,2
Girondins de Bordeaux_2011/2012,Girondins de Bordeaux,2011/2012,0.3157894736842105,49,37,49,64,51,44,46,49,4
Girondins de Bordeaux_2013/2014,Girondins de Bordeaux,2013/2014,0.15789473684210525,49,37,49,64,51,44,46,49,4
Girondins de Bordeaux_2014/2015,Girondins de Bordeaux,2014/2015,0.07894736842105263,38,36,49,55,51,37,33,49,4
Girondins de Bordeaux_2015/2016,Girondins de Bordeaux,2015/2016,-0.18421052631578946,51,48,49,63,44,57,52,49,3
Borussia Dortmund_2009/2010,Borussia Dortmund,2009/2010,0.35294117647058826,70,45,70,34,66,54,70,53,2
Borussia Dortmund_2010/2011,Borussia Dortmund,2010/2011,1.3235294117647058,73,43,60,53,64,59,67,46,2
Borussia Dortmund_2011/2012,Borussia Dortmund,2011/2012,1.6176470588235294,71,45,67,44,70,58,69,46,2
Borussia Dortmund_2013/2014,Borussia Dortmund,2013/2014,1.2352941176470589,74,45,70,48,76,60,70,48,2
Borussia Dortmund_2014/2015,Borussia Dortmund,2014/2015,0.14705882352941177,76,61,53,44,73,60,68,43,2
Borussia Dortmund_2015/2016,Borussia Dortmund,2015/2016,1.411764705882353,71,40,70,44,49,65,71,40,2
Borussia Mönchengladbach_2009/2010,Borussia Mönchengladbach,2009/2010,-0.5,65,45,50,70,65,55,40,65,2
Borussia Mönchengladbach_2010/2011,Borussia Mönchengladbach,2010/2011,-0.5,63,46,60,51,61,49,58,49,2
Borussia Mönchengladbach_2011/2012,Borussia Mönchengladbach,2011/2012,0.7352941176470589,57,64,54,48,55,33,43,38,4
Borussia Mönchengladbach_2013/2014,Borussia Mönchengladbach,2013/2014,0.47058823529411764,76,40,66,48,30,33,53,41,4
Borussia Mönchengladbach_2014/2015,Borussia Mönchengladbach,2014/2015,0.7941176470588235,31,32,38,26,49,43,50,41,1
Borussia Mönchengladbach_2015/2016,Borussia Mönchengladbach,2015/2016,0.5,31,32,38,26,49,41,48,39,1
US Boulogne Cote D'Opale_2009/2010,US Boulogne Cote D'Opale,2009/2010,-0.8157894736842105,45,30,35,55,60,70,60,70,3
Bournemouth_2015/2016,Bournemouth,2015/2016,-0.5789473684210527,47,47,49,45,47,48,50,62,3
SC Braga_2009/2010,SC Braga,2009/2010,0.9333333333333333,30,30,55,50,60,30,30,30,1
SC Braga_2010/2011,SC Braga,2010/2011,0.4,30,30,55,50,60,40,60,50,3
SC Braga_2011/2012,SC Braga,2011/2012,1.0,53,46,53,53,52,23,48,39,4
SC Braga_2013/2014,SC Braga,2013/2014,0.06666666666666667,66,54,53,53,52,25,56,39,4
SC Braga_2014/2015,SC Braga,2014/2015,0.7941176470588235,53,55,53,65,39,25,56,39,4
SC Braga_2015/2016,SC Braga,2015/2016,0.5588235294117647,55,55,62,65,39,25,56,39,4
Brescia_2010/2011,Brescia,2010/2011,-0.47368421052631576,30,50,50,65,65,45,45,55,2
Stade Brestois 29_2010/2011,Stade Brestois 29,2010/2011,-0.18421052631578946,65,35,50,65,50,55,45,65,3
Stade Brestois 29_2011/2012,Stade Brestois 29,2011/2012,-0.18421052631578946,64,62,49,53,66,44,34,51,4
Burnley_2009/2010,Burnley,2009/2010,-1.0526315789473684,70,65,70,70,70,65,70,70,2
Burnley_2014/2015,Burnley,2014/2015,-0.6578947368421053,48,74,72,59,58,54,57,58,2
SM Caen_2010/2011,SM Caen,2010/2011,-0.13157894736842105,65,35,35,65,65,55,45,65,3
SM Caen_2011/2012,SM Caen,2011/2012,-0.5263157894736842,48,52,48,54,53,47,45,51,4
SM Caen_2014/2015,SM Caen,2014/2015,-0.02631578947368421,62,45,48,54,53,43,42,51,4
SM Caen_2015/2016,SM Caen,2015/2016,-0.34210526315789475,62,45,48,54,53,43,42,51,4
Cagliari_2009/2010,Cagliari,2009/2010,-0.05263157894736842,40,30,30,35,55,40,55,60,3
Cagliari_2010/2011,Cagliari,2010/2011,-0.18421052631578946,65,50,50,65,50,45,45,51,4
Cagliari_2011/2012,Cagliari,2011/2012,-0.2222222222222222,40,50,65,50,50,45,45,50,4
Cagliari_2013/2014,Cagliari,2013/2014,-0.5,63,36,66,51,51,46,56,51,4
Cagliari_2014/2015,Cagliari,2014/2015,-0.5263157894736842,63,53,33,51,68,37,56,51,4
SC Cambuur_2014/2015,SC Cambuur,2014/2015,-0.29411764705882354,45,42,46,56,57,42,49,47,4
SC Cambuur_2015/2016,SC Cambuur,2015/2016,-1.3529411764705883,43,57,46,50,38,42,49,47,3
Cardiff City_2013/2014,Cardiff City,2013/2014,-1.105263157894737,60,69,54,59,62,47,43,56,2
Carpi_2015/2016,Carpi,2015/2016,-0.5263157894736842,80,65,70,40,50,25,55,35,4
Catania_2009/2010,Catania,2009/2010,-0.02631578947368421,35,30,30,30,60,35,55,50,3
Catania_2010/2011,Catania,2010/2011,-0.3157894736842105,65,35,50,65,63,35,55,50,4
Catania_2011/2012,Catania,2011/2012,-0.17647058823529413,40,50,50,50,50,25,50,35,4
Catania_2013/2014,Catania,2013/2014,-0.8421052631578947,67,37,67,52,52,37,57,52,4
RC Celta de Vigo_2013/2014,RC Celta de Vigo,2013/2014,-0.13157894736842105,53,62,59,68,52,42,52,68,2
RC Celta de Vigo_2014/2015,RC Celta de Vigo,2014/2015,0.07894736842105263,53,62,59,68,52,42,52,65,2
RC Celta de Vigo_2015/2016,RC Celta de Vigo,2015/2016,-0.21052631578947367,55,38,41,48,50,55,55,59,3
Celtic_2009/2010,Celtic,2009/2010,0.9473684210526315,70,70,65,70,70,60,70,70,2
Celtic_2010/2011,Celtic,2010/2011,1.6578947368421053,54,52,52,67,51,46,46,67,2
Celtic_2011/2012,Celtic,2011/2012,1.6578947368421053,70,58,54,58,60,50,50,60,2
Celtic_2013/2014,Celtic,2013/2014,2.026315789473684,50,53,57,58,60,55,51,60,2
Celtic_2014/2015,Celtic,2014/2015,1.763157894736842,70,58,55,61,62,51,54,60,2
Celtic_2015/2016,Celtic,2015/2016,1.631578947368421,54,53,51,51,62,58,55,56,2
KSV Cercle Brugge_2009/2010,KSV Cercle Brugge,2009/2010,0.17857142857142858,45,35,70,45,55,65,60,70,2
KSV Cercle Brugge_2010/2011,KSV Cercle Brugge,2010/2011,-0.03333333333333333,50,50,70,65,65,60,50,70,2
KSV Cercle Brugge_2011/2012,KSV Cercle Brugge,2011/2012,-0.03333333333333333,68,54,55,68,42,59,47,62,2
KSV Cercle Brugge_2014/2015,KSV Cercle Brugge,2014/2015,-0.8,53,43,52,58,42,59,47,62,3
Cesena_2010/2011,Cesena,2010/2011,-0.3157894736842105,50,50,35,35,50,35,55,50,3
Cesena_2011/2012,Cesena,2011/2012,-0.9411764705882353,60,40,50,35,65,35,45,50,4
Cesena_2014/2015,Cesena,2014/2015,-0.9736842105263158,73,41,53,44,73,39,49,57,4
Chelsea_2009/2010,Chelsea,2009/2010,1.868421052631579,70,60,56,70,70,30,60,35,2
Chelsea_2010/2011,Chelsea,2010/2011,0.9473684210526315,60,50,60,60,80,35,55,50,2
